index;degree;degree_pct;closeness_pct;betweenness_pct
0;33;44.2;32.3;17.2
1;34;46.5;34.4;14.4
2;55;95.3;92.5;87.6
3;18;9.3;5.8;1.0
4;19;11.6;7.3;1.5
5;42;65.1;52.9;51.6
6;39;58.1;45.5;15.7
7;25;25.6;17.1;1.6
8;29;34.9;24.4;4.9
9;32;41.9;30.2;7.0
10;37;53.5;40.9;27.1
11;23;20.9;13.7;0.7
12;57;100.0;100.0;100.0
13;17;7.0;4.3;0.7
14;18;9.3;5.8;0.9
15;34;46.5;34.4;17.6
16;54;93.0;88.9;77.0
17;40;60.5;47.9;44.5
18;24;23.3;15.4;5.7
19;40;60.5;47.9;20.3
20;41;62.8;50.4;17.5
21;27;30.2;20.7;6.0
22;36;51.2;38.7;18.6
23;33;44.2;32.3;15.4
24;36;51.2;38.7;12.2
25;28;32.6;22.5;10.3
26;55;95.3;92.5;87.3
27;24;23.3;15.4;3.4
28;32;41.9;30.2;14.4
29;30;37.2;26.3;3.4
30;21;16.3;10.5;3.7
31;28;32.6;22.5;2.7
32;31;39.5;28.2;7.3
33;36;51.2;38.7;12.4
34;35;48.8;36.5;19.0
35;29;34.9;24.4;4.7
36;29;34.9;24.4;5.7
37;29;34.9;24.4;11.5
38;21;16.3;10.5;1.6
39;34;46.5;34.4;13.2
40;46;74.4;63.6;31.1
41;30;37.2;26.3;7.7
42;26;27.9;18.9;3.2
43;32;41.9;30.2;8.1
44;14;0.0;0.0;0.0
45;40;60.5;47.9;30.7
46;28;32.6;22.5;3.0
47;21;16.3;10.5;3.0
48;26;27.9;18.9;3.9
49;44;69.8;58.1;34.7
50;48;79.1;69.5;61.8
51;40;60.5;47.9;19.4
52;48;79.1;69.5;41.0
53;26;27.9;18.9;4.3
54;31;39.5;28.2;8.0
55;29;34.9;24.4;5.8
56;29;34.9;24.4;3.6
57;23;20.9;13.7;2.0
58;38;55.8;43.2;20.0
59;29;34.9;24.4;3.7
60;36;51.2;38.7;13.0
61;43;67.4;55.5;26.8
